"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7952","Login with empty fields","firefox","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","12784","Verify Try here link is highlighted on hover on Arrays Using List page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4950","Verify Max Consecutive Ones link navigates to Question 2 page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","10499","Verify Search Operation sub title is present","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","6363","Verify Arrays in Python link is present","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","5241","Verify presence of Register button","firefox","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","4634","Verify Home page URL after successful registration","webkit","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","3734","Verify Max Consecutive Ones link navigates to Question 2 page","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","11551","Verify Insertion sub title is present on Arrays in Python page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","1877","Verify content below Login button","chromium","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","2860","Validate successful registration with valid inputs","chromium","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","1764","Verify Password field is present","chromium","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","3962","Verify registered username is visible on Home page","webkit","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","4362","Verify Deleting From the Start of an Array sub title is present","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3385","Verify Max Consecutive Ones link is present on Practice page","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","6109","Verify Get Started button on Graph card","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","2083","Example #7","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user clicks Get Started on card","features\Home.feature.spec.js","",""
"","1588","Verify 2 navigation links are present","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","4627","Verify Squares of a Sorted Array link navigates to Question 4 page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","1840","Validate error when all fields are empty","chromium","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","4947","Verify that user is able to navigate to Login Page","firefox","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","5587","Verify Graph card is present","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","2474","Verify Practice Questions link navigates to Practice page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3689","Verify SUBMIT button is clickable on Question 2","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4561","Verify Find Numbers with Even Digits link navigates to Question 3 page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3342","Verify back arrow navigates back to Applications of Array page","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3436","Verify logged in user can sign out successfully","chromium","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","4338","Verify Stack card is present","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","4277","Verify registered user is able to sign out successfully","webkit","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","1640","Verify Get Started button on Stack card","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","4947","Verify full navigation flow from Launch page to Home page","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","7548","Verify Try here link navigates to Editor page from Arrays Using List","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","20887","Verify Basic Operations in Lists title is displayed","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2597","Verify Applications of Array link is present","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","5584","Verify logged in user can access Tree page","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","4911","Verify Queue card is present","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","10983","Verify Array page loads successfully","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","13223","Verify Practice Questions Link is present on Arrays in Python page","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2939","Verify Practice Questions Link is present on Arrays in Python page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4383","Verify page title","firefox","2026-04-02","passed","2026-04-02","Launch Page - Non Functional Test Cases","features\Launch.feature.spec.js","",""
"","4351","Verify 2 navigation links are present","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","1837","Validate error when username is empty and other fields filled","chromium","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","4174","Verify Try here link is highlighted on hover on Basic Operations page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3745","Verify Get Started button on Queue card","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","3044","Verify Try here link navigates to Editor page from Applications","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4428","Verify back arrow navigates back to Practice page from Question 4","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2875","Verify NumpyNinja title on top left of Home page","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","11901","Verify logged in user can access Queue page","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","2824","Verify Practice Questions link navigates to Practice page","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","5132","Verify SUBMIT button is clickable on Question 3","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2056","Verify page title","chromium","2026-04-02","passed","2026-04-02","Launch Page - Non Functional Test Cases","features\Launch.feature.spec.js","",""
"","3919","Verify RUN button is clickable on Question 1","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4014","Verify Register link is present","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","5761","Verify Stack card is present","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","5092","Verify SUBMIT button is clickable on Question 4","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","5111","Login with valid username and unregistered but valid password","webkit","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","3181","Example #6","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user clicks Get Started on card","features\Home.feature.spec.js","",""
"","8321","Verify Login button is present on Sign In page","webkit","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","4886","Verify Max Consecutive Ones link navigates to Question 2 page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","15322","Verify Array page loads successfully","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4675","Verify page title","webkit","2026-04-02","passed","2026-04-02","Launch Page - Non Functional Test Cases","features\Launch.feature.spec.js","",""
"","7216","Validate error when all fields are empty","firefox","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","12299","Verify Username field is present on Sign In page","firefox","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","4586","Validate error when password contains only numbers","webkit","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","3788","Verify Try here link is present on Applications of Array page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4273","Verify back arrow navigates back to Arrays in Python page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","7438","Login with unregistered username and valid password","webkit","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","12461","Login with valid username and invalid password - only 5 characters","firefox","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","3031","Verify Try here link is highlighted on hover on Applications page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","11618","Verify Update Operation sub title is present","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","5106","Verify Inserting at any location sub title is present","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","8747","Verify Deletion in Array sub title is present","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3242","Verify Username field character rule text","webkit","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","4507","Verify Data Structures dropdown options for logged in user","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","22153","Verify Inserting at any location sub title is present","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2928","Example #2","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user selects from dropdown","features\Home.feature.spec.js","",""
"","5135","Verify cursor is focused on Username field","firefox","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","10930","Example #5","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user selects from dropdown","features\Home.feature.spec.js","",""
"","5941","Verify Arrays Using List link is present","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3413","Example #4","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user selects from dropdown","features\Home.feature.spec.js","",""
"","4762","Verify Register link navigates to Registration page","firefox","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","5099","Verify Try here link navigates to Editor page from Applications","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4899","Verify logged in user can access Linked List page","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","4673","Verify Linked List card is present","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","1355","Verify Array card is present","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","3675","Verify Try here link navigates to Editor page from Basic Operations","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2267","Example #1","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user clicks Get Started on card","features\Home.feature.spec.js","",""
"","5268","Verify Get Started button is enabled","webkit","2026-04-02","passed","2026-04-02","Launch Page - Non Functional Test Cases","features\Launch.feature.spec.js","",""
"","5126","Verify back arrow navigates back to Practice page from Question 3","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3171","Example #6","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user selects from dropdown","features\Home.feature.spec.js","",""
"","4779","Validate successful registration with valid inputs","webkit","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","4245","Example #5","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user selects from dropdown","features\Home.feature.spec.js","",""
"","3518","Verify Applications of Array link navigates to correct page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","9735","Verify Keyboard Navigation using Tab key","webkit","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","5406","Verify Basic Operations in Lists link is present","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","6179","Verify Array card is present","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","5140","Verify Get Started button on Tree card","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","5411","Verify Basic Operations in Lists title is displayed","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3498","Verify user can land on DS Algo portal","chromium","2026-04-02","passed","2026-04-02","Launch Page - Non Functional Test Cases","features\Launch.feature.spec.js","",""
"","3090","Verify Data Structures dropdown is present","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","3550","Verify back arrow navigates back to Basic Operations page","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","6571","Verify Topics Covered sub title is present","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","5634","Verify Get Started button on Linked List card","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","2540","Verify Arrays in Python link is present","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2175","Verify cursor is focused on Username field","chromium","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","6101","Verify 7 Get Started buttons are visible","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","8951","Verify user can land on DS Algo portal","firefox","2026-04-02","passed","2026-04-02","Launch Page - Non Functional Test Cases","features\Launch.feature.spec.js","",""
"","1443","Verify NumpyNinja title on top left of Home page","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","3500","Verify SUBMIT button is clickable on Question 4","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4742","Verify back arrow navigates back to Practice page from Question 1","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3217","Verify logged in user can access Array page","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","2807","Example #1","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user selects from dropdown","features\Home.feature.spec.js","",""
"","2810","Verify Try here link is highlighted on hover on Applications page","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","1939","Verify Data Structures Introduction text is visible","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","3471","Verify Signin link is present","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","8655","Example #5","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user selects from dropdown","features\Home.feature.spec.js","",""
"","3163","Verify Get Started button on Tree card","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","8982","Validate error when password contains only numbers","firefox","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","5680","Verify Find Numbers with Even Digits link navigates to Question 3 page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2120","Verify Password confirmation field is present","chromium","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","4560","Verify Keyboard Navigation using Tab key","firefox","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","4648","Verify Get Started button on Array card","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","12114","Verify Try here link is highlighted on hover on Arrays Using List page","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3339","Verify Try here link is highlighted on hover on Applications page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2598","Verify Try here link is present on Arrays in Python page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4747","Login with invalid username and valid password","webkit","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","4033","Verify Arrays Using List link is present","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","12081","Valid login with correct credentials","firefox","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","3590","Verify Get Started button text","firefox","2026-04-02","passed","2026-04-02","Launch Page - Non Functional Test Cases","features\Launch.feature.spec.js","",""
"","19402","Verify Basic Operations in Lists link navigates to correct page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4284","Verify Squares of a Sorted Array link is present on Practice page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","6653","Verify Username field is present","firefox","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","3392","Verify Register link navigates to Registration page","chromium","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","7546","Verify Arrays in Python link is present","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","9430","Login with valid username and unregistered but valid password","firefox","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","3730","Verify SUBMIT button is clickable on Question 1","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","12447","Verify full navigation flow from Launch page to Home page","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","8849","Example #4","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user clicks Get Started on card","features\Home.feature.spec.js","",""
"","3146","Verify Search the Array link is present on Practice page","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","12347","Validate successful registration with valid inputs","firefox","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","7009","Verify Register link navigates to Registration page","webkit","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","9515","Verify Search Operation sub title is present","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3616","Verify RUN button is clickable on Question 3","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","6524","Verify Array title is displayed on top left corner","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4897","Verify RUN button is clickable on Question 4","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3805","Verify Deletion in Array sub title is present","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","5743","Login with valid username and invalid password - all numbers","webkit","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","5784","Verify Get Started button on Stack card","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","4286","Verify Applications of Array title is displayed","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","5119","Verify Get Started button on Linked List card","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","3517","Verify Insertion sub title is present on Arrays in Python page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4795","Verify back arrow navigates back to Arrays Using List page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3282","Verify Data Structures dropdown is present","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","5355","Verify Try here link is highlighted on hover on Arrays Using List page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","8591","Verify Practice Questions Link is present on Arrays in Python page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4746","Verify user can sign out successfully from Array Practice page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2919","Verify password rule - minimum 8 characters","webkit","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","3978","Verify Try here link is present on Basic Operations page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","1992","Verify launch page heading text","chromium","2026-04-02","passed","2026-04-02","Launch Page - Non Functional Test Cases","features\Launch.feature.spec.js","",""
"","19323","Verify Insertion in Lists sub title is present","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","1622","Verify Linked List card is present","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","4850","Verify registered user is able to sign out successfully","chromium","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","4567","Verify content below Login button","firefox","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","4834","Verify RUN button is clickable on Question 1","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3921","Example #6","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user selects from dropdown","features\Home.feature.spec.js","",""
"","6817","Example #7","firefox","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user clicks Get Started on card","features\Home.feature.spec.js","",""
"","6149","Verify Password confirmation field is present","firefox","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","9298","Verify Home page URL after successful registration","firefox","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","1536","Verify Register link is present","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","6326","Verify back arrow navigates back to Basic Operations page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","7125","Verify Deleting From the Start of an Array sub title is present","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","1827","Verify Login button is present on Sign In page","chromium","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","9079","Verify Topics Covered sub title is present","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4727","Verify Username field is present","webkit","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","5739","Login with valid username and invalid password - only 5 characters","webkit","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","4237","Example #5","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user clicks Get Started on card","features\Home.feature.spec.js","",""
"","7867","Verify back arrow navigates back to Arrays Using List page","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2195","Validate error when password contains only numbers","chromium","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","2911","Verify Max Consecutive Ones link is present on Practice page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
